Date,RUB_GBP
2020-10-22,100.2095
2020-10-21,101.0392
2020-10-20,100.5229
2020-10-19,100.6959
2020-10-16,100.7508
2020-10-15,101.0527
2020-10-14,101.0058
2020-10-13,100.1947
2020-10-12,100.7599
2020-10-09,99.6727
2020-10-08,100.197
2020-10-07,100.8711
2020-10-06,101.2053
2020-10-05,101.5025
2020-10-02,101.4914
2020-10-01,99.7135
2020-09-30,100.3033
2020-09-29,101.7022
2020-09-28,101.6637
2020-09-25,99.4599
2020-09-24,98.2957
2020-09-23,97.9559
2020-09-22,96.9595
2020-09-21,97.7602
2020-09-18,97.8435
2020-09-17,97.5576
2020-09-16,97.3369
2020-09-15,96.4334
2020-09-14,96.9156
2020-09-11,95.8252
2020-09-10,96.5608
2020-09-09,98.0093
2020-09-08,99.5999
2020-09-07,99.852
2020-09-04,99.7984
2020-09-03,99.9716
2020-09-02,100.5241
2020-09-01,98.7714
2020-08-28,99.0686
2020-08-27,98.9989
2020-08-26,99.7325
2020-08-25,98.5293
2020-08-24,97.3588
2020-08-21,97.7141
2020-08-20,97.3355
2020-08-19,96.3362
2020-08-18,96.8056
2020-08-17,96.2907
2020-08-14,95.5767
2020-08-13,95.677
2020-08-12,96.1122
2020-08-11,95.5466
2020-08-10,96.2958
2020-08-07,96.2509
2020-08-06,96.4399
2020-08-05,95.7921
2020-08-04,96.4313
2020-08-03,95.7305
2020-07-31,97.4301
2020-07-30,96.0408
2020-07-29,94.0738
2020-07-28,93.9531
2020-07-27,92.4346
2020-07-24,91.7419
2020-07-23,91.0281
2020-07-22,90.4856
2020-07-21,90.1562
2020-07-20,90.3207
2020-07-17,90.1541
2020-07-16,89.6748
2020-07-15,89.5213
2020-07-14,89.181
2020-07-13,89.0479
2020-07-10,89.54
2020-07-09,89.5476
2020-07-08,89.7969
2020-07-07,89.6642
2020-07-06,89.4018
2020-07-03,89.2413
2020-07-02,87.8312
2020-07-01,88.0308
2020-06-30,88.0826
2020-06-29,86.0758
2020-06-26,86.079
2020-06-25,85.9444
2020-06-24,86.3558
2020-06-23,85.9523
2020-06-22,86.3082
2020-06-19,85.8162
2020-06-18,86.4743
2020-06-17,87.4261
2020-06-16,87.6658
2020-06-15,88.0583
2020-06-12,87.4016
2020-06-11,87.8006
2020-06-10,87.8788
2020-06-09,87.1839
2020-06-08,86.9489
2020-06-05,86.9908
2020-06-04,87.3618
2020-06-03,86.4564
2020-06-02,86.3545
2020-06-01,86.7009
2020-05-29,87.3552
2020-05-28,87.0682
2020-05-27,87.0522
2020-05-26,87.3469
2020-05-22,87.57
2020-05-21,86.62
2020-05-20,87.436
2020-05-19,88.5992
2020-05-18,88.6419
2020-05-15,89.4165
2020-05-14,90.2256
2020-05-13,90.1334
2020-05-12,90.1081
2020-05-11,90.9009
2020-05-07,90.9607
2020-05-06,92.1433
2020-05-05,92.1004
2020-05-04,93.5053
2020-05-01,94.9266
2020-04-30,93.2401
2020-04-29,91.0688
2020-04-28,92.4965
2020-04-27,92.4967
2020-04-24,91.9489
2020-04-23,92.1373
