בנק ישראל - שערים יציגים;;
טווח תאריכים : 02/10/2008 - 21/10/2020;;
אם לא פורסם שער יציג ליום המבוקש, מוצג השער האחרון שפורסם לפניו;;
;;
תאריך;דולר ארצות הברית;אירו האיחוד המוניטרי האירופי
02.10.2008;3,494;4,8511
03.10.2008;3,465;4,8023
06.10.2008;3,465;4,7219
07.10.2008;3,503;4,7704
10.10.2008;3,595;4,893
13.10.2008;3,607;4,9228
15.10.2008;3,629;4,9338
16.10.2008;3,705;4,991
17.10.2008;3,739;5,0248
20.10.2008;3,749;5,055
22.10.2008;3,834;4,9426
23.10.2008;3,841;4,9244
24.10.2008;3,879;4,8567
27.10.2008;3,824;4,7655
28.10.2008;3,777;4,75
29.10.2008;3,767;4,8274
30.10.2008;3,713;4,8508
31.10.2008;3,783;4,8262
03.11.2008;3,752;4,8168
04.11.2008;3,778;4,8222
05.11.2008;3,827;4,942
06.11.2008;3,837;4,9117
07.11.2008;3,816;4,8976
10.11.2008;3,776;4,872
11.11.2008;3,796;4,8329
12.11.2008;3,876;4,8869
13.11.2008;3,928;4,9204
14.11.2008;3,883;4,9337
17.11.2008;3,915;4,9505
18.11.2008;3,964;5,0006
19.11.2008;3,969;5,0097
20.11.2008;3,998;5,0081
21.11.2008;4,022;5,0416
24.11.2008;3,993;5,0919
25.11.2008;3,969;5,0946
26.11.2008;3,89;5,027
27.11.2008;3,899;5,0313
28.11.2008;3,92;5,0433
01.12.2008;3,99;5,0298
02.12.2008;3,955;5,0092
03.12.2008;3,978;5,0344
04.12.2008;3,964;5,0065
05.12.2008;3,981;5,0819
08.12.2008;3,935;5,063
09.12.2008;3,931;5,0596
10.12.2008;3,904;5,0551
11.12.2008;3,911;5,1688
12.12.2008;3,898;5,2071
15.12.2008;3,863;5,206
16.12.2008;3,833;5,2324
17.12.2008;3,755;5,276
18.12.2008;3,677;5,3572
19.12.2008;3,736;5,2762
22.12.2008;3,835;5,3631
23.12.2008;3,835;5,3661
24.12.2008;3,873;5,4199
29.12.2008;3,848;5,5038
30.12.2008;3,765;5,3354
31.12.2008;3,802;5,2973
02.01.2009;3,783;5,2646
05.01.2009;3,853;5,2337
06.01.2009;3,861;5,1504
07.01.2009;3,857;5,2602
08.01.2009;3,888;5,2762
09.01.2009;3,861;5,2734
12.01.2009;3,895;5,2316
13.01.2009;3,915;5,2085
14.01.2009;3,889;5,1413
15.01.2009;3,885;5,0837
16.01.2009;3,861;5,0975
19.01.2009;3,84;5,0861
20.01.2009;3,888;5,0441
21.01.2009;3,903;5,0536
22.01.2009;3,945;5,1244
23.01.2009;3,974;5,1042
26.01.2009;3,995;5,1851
27.01.2009;3,98;5,252
28.01.2009;4,025;5,3426
29.01.2009;4,017;5,2777
30.01.2009;4,065;5,2349
02.02.2009;4,065;5,1949
03.02.2009;4,074;5,2377
04.02.2009;4,074;5,2286
05.02.2009;4,067;5,2165
06.02.2009;4,012;5,1297
09.02.2009;4,037;5,2281
11.02.2009;4,061;5,2566
12.02.2009;4,054;5,2017
13.02.2009;4,045;5,2237
16.02.2009;4,074;5,1978
17.02.2009;4,135;5,2231
18.02.2009;4,142;5,2216
19.02.2009;4,123;5,2234
20.02.2009;4,16;5,2376
23.02.2009;4,148;5,3235
24.02.2009;4,161;5,3203
25.02.2009;4,191;5,3534
26.02.2009;4,173;5,3354
27.02.2009;4,162;5,2739
02.03.2009;4,209;5,2987
03.03.2009;4,206;5,3002
04.03.2009;4,211;5,2804
05.03.2009;4,235;5,3145
06.03.2009;4,234;5,3662
09.03.2009;4,245;5,3413
12.03.2009;4,215;5,3838
13.03.2009;4,171;5,4019
16.03.2009;4,135;5,3879
17.03.2009;4,144;5,3652
18.03.2009;4,124;5,4057
19.03.2009;4,05;5,5108
20.03.2009;4,024;5,5032
23.03.2009;4,052;5,5042
24.03.2009;4,066;5,5066
25.03.2009;4,101;5,5288
26.03.2009;4,148;5,6402
27.03.2009;4,196;5,6921
30.03.2009;4,226;5,5673
31.03.2009;4,188;5,5736
01.04.2009;4,209;5,5866
02.04.2009;4,175;5,5818
03.04.2009;4,165;5,6111
06.04.2009;4,125;5,5733
07.04.2009;4,172;5,5285
14.04.2009;4,166;5,5416
16.04.2009;4,189;5,5154
17.04.2009;4,179;5,4776
20.04.2009;4,207;5,4533
21.04.2009;4,214;5,455
22.04.2009;4,205;5,4476
23.04.2009;4,229;5,5186
24.04.2009;4,248;5,6322
27.04.2009;4,233;5,5624
28.04.2009;4,256;5,5477
30.04.2009;4,163;5,5253
01.05.2009;4,161;5,5192
04.05.2009;4,161;5,5181
05.05.2009;4,125;5,5256
06.05.2009;4,141;5,5069
07.05.2009;4,134;5,5232
08.05.2009;4,101;5,4982
11.05.2009;4,1;5,5737
12.05.2009;4,102;5,6035
13.05.2009;4,109;5,6069
14.05.2009;4,154;5,6374
15.05.2009;4,145;5,6266
18.05.2009;4,169;5,6129
19.05.2009;4,121;5,6134
20.05.2009;4,091;5,5918
21.05.2009;4,017;5,5308
22.05.2009;3,96;5,5222
26.05.2009;4;5,5518
27.05.2009;3,992;5,5469
28.05.2009;3,958;5,4767
01.06.2009;3,887;5,5306
02.06.2009;3,911;5,5787
03.06.2009;3,932;5,5943
04.06.2009;3,967;5,5905
05.06.2009;3,931;5,5779
08.06.2009;4,005;5,5383
09.06.2009;3,967;5,5064
10.06.2009;3,914;5,514
11.06.2009;3,921;5,498
12.06.2009;3,916;5,5137
15.06.2009;3,965;5,4911
16.06.2009;3,932;5,4645
17.06.2009;3,95;5,4731
18.06.2009;3,958;5,5182
19.06.2009;3,958;5,5145
22.06.2009;3,955;5,4727
23.06.2009;3,968;5,5397
24.06.2009;3,933;5,5174
25.06.2009;3,962;5,5242
26.06.2009;3,973;5,5747
29.06.2009;3,936;5,5277
30.06.2009;3,919;5,5346
01.07.2009;3,89;5,4736
02.07.2009;3,866;5,4331
03.07.2009;3,884;5,4376
06.07.2009;3,916;5,443
07.07.2009;3,91;5,4822
08.07.2009;3,964;5,5177
09.07.2009;3,956;5,5208
10.07.2009;3,965;5,5193
13.07.2009;3,987;5,5716
14.07.2009;3,96;5,5363
15.07.2009;3,919;5,5113
16.07.2009;3,902;5,5182
17.07.2009;3,904;5,5041
20.07.2009;3,902;5,5547
21.07.2009;3,888;5,5283
22.07.2009;3,886;5,5164
23.07.2009;3,881;5,5205
24.07.2009;3,867;5,4964
27.07.2009;3,811;5,4457
28.07.2009;3,781;5,3996
29.07.2009;3,803;5,3761
31.07.2009;3,79;5,3471
03.08.2009;3,743;5,3557
04.08.2009;3,866;5,5622
05.08.2009;3,889;5,6112
06.08.2009;3,931;5,6518
07.08.2009;3,912;5,6206
10.08.2009;3,873;5,5022
11.08.2009;3,87;5,4795
12.08.2009;3,857;5,4584
13.08.2009;3,818;5,4481
14.08.2009;3,789;5,4114
17.08.2009;3,811;5,36
18.08.2009;3,824;5,3991
19.08.2009;3,832;5,4096
20.08.2009;3,811;5,4253
21.08.2009;3,818;5,4576
24.08.2009;3,804;5,4401
25.08.2009;3,796;5,44
26.08.2009;3,797;5,4196
27.08.2009;3,799;5,4168
28.08.2009;3,822;5,4798
31.08.2009;3,811;5,4419
01.09.2009;3,796;5,4317
02.09.2009;3,807;5,4132
03.09.2009;3,796;5,429
04.09.2009;3,762;5,3688
07.09.2009;3,757;5,3907
08.09.2009;3,78;5,4784
09.09.2009;3,781;5,4887
10.09.2009;3,788;5,5072
11.09.2009;3,782;5,523
14.09.2009;3,779;5,4964
15.09.2009;3,761;5,4911
16.09.2009;3,74;5,4886
17.09.2009;3,75;5,5204
21.09.2009;3,742;5,4867
22.09.2009;3,729;5,5178
23.09.2009;3,732;5,5178
24.09.2009;3,733;5,5146
25.09.2009;3,77;5,5325
29.09.2009;3,774;5,4968
30.09.2009;3,758;5,5098
01.10.2009;3,78;5,4937
02.10.2009;3,766;5,4831
05.10.2009;3,76;5,5033
06.10.2009;3,733;5,4974
07.10.2009;3,734;5,4985
08.10.2009;3,732;5,5151
09.10.2009;3,737;5,5033
12.10.2009;3,728;5,5046
13.10.2009;3,714;5,5222
14.10.2009;3,709;5,5233
15.10.2009;3,718;5,5279
16.10.2009;3,709;5,5353
19.10.2009;3,708;5,5342
20.10.2009;3,7;5,5389
21.10.2009;3,704;5,5275
22.10.2009;3,698;5,5455
23.10.2009;3,692;5,5552
26.10.2009;3,69;5,5483
27.10.2009;3,709;5,5186
28.10.2009;3,745;5,5287
29.10.2009;3,764;5,55
30.10.2009;3,746;5,5499
02.11.2009;3,775;5,5795
03.11.2009;3,806;5,5785
04.11.2009;3,793;5,5945
05.11.2009;3,792;5,6296
06.11.2009;3,771;5,6162
09.11.2009;3,741;5,6113
10.11.2009;3,759;5,6293
11.11.2009;3,749;5,6366
12.11.2009;3,769;5,6311
13.11.2009;3,774;5,6202
16.11.2009;3,753;5,6186
17.11.2009;3,768;5,6179
18.11.2009;3,77;5,6399
19.11.2009;3,793;5,6354
20.11.2009;3,811;5,6765
23.11.2009;3,801;5,6931
24.11.2009;3,777;5,6523
25.11.2009;3,762;5,662
26.11.2009;3,776;5,6901
27.11.2009;3,826;5,6898
30.11.2009;3,792;5,6977
01.12.2009;3,775;5,6895
02.12.2009;3,777;5,6984
03.12.2009;3,772;5,7023
04.12.2009;3,774;5,6869
07.12.2009;3,815;5,6437
08.12.2009;3,797;5,6167
09.12.2009;3,806;5,6089
10.12.2009;3,781;5,5721
11.12.2009;3,775;5,5644
14.12.2009;3,78;5,5315
15.12.2009;3,787;5,5031
16.12.2009;3,783;5,5105
17.12.2009;3,803;5,4603
18.12.2009;3,793;5,4574
21.12.2009;3,801;5,4563
22.12.2009;3,801;5,4254
23.12.2009;3,808;5,4274
24.12.2009;3,797;5,4675
28.12.2009;3,793;5,4634
29.12.2009;3,79;5,465
30.12.2009;3,789;5,4349
31.12.2009;3,775;5,4417
04.01.2010;3,765;5,4214
05.01.2010;3,736;5,3896
06.01.2010;3,74;5,3663
07.01.2010;3,727;5,343
08.01.2010;3,718;5,3272
11.01.2010;3,683;5,3486
12.01.2010;3,691;5,3523
13.01.2010;3,667;5,3439
14.01.2010;3,683;5,3363
15.01.2010;3,682;5,305
18.01.2010;3,687;5,3012
19.01.2010;3,69;5,2809
20.01.2010;3,704;5,2371
21.01.2010;3,715;5,2281
22.01.2010;3,727;5,2698
25.01.2010;3,722;5,2726
26.01.2010;3,733;5,2589
27.01.2010;3,729;5,2469
28.01.2010;3,728;5,2274
29.01.2010;3,724;5,2062
