Date,Open_VA,High_VA,Low_VA,Close_VA,Volume_VA
2016-12-13,56.95,57.05,56.95,56.98,417690
2016-12-12,56.95,57.05,56.95,56.98,1320000
2016-09-12,56.95,57.0,56.95,57.0,605760
2016-08-12,57.0,57.05,56.95,57.0,2110000
2016-07-12,56.75,57.0,56.75,56.95,3020000
2016-06-12,56.8,56.95,56.7,56.8,7130000
2016-05-12,56.6,56.65,56.45,56.45,257310
2016-02-12,56.6,56.6,56.45,56.55,259800
2016-01-12,56.45,56.6,56.4,56.6,367720
2016-11-30,56.35,56.7,56.25,56.5,753150
2016-11-29,56.45,56.6,56.33,56.4,403890
2016-11-28,56.55,56.6,56.45,56.5,334820
2016-11-25,56.6,56.67,56.5,56.6,100720
2016-11-23,56.45,56.75,56.4,56.58,389190
2016-11-22,56.55,56.55,56.35,56.5,347780
2016-11-21,56.55,56.65,56.4,56.5,822570
2016-11-18,55.6,58.7,55.6,56.55,2470000
2016-11-17,55.55,55.9,55.2,55.45,238150
2016-11-16,55.7,56.0,55.48,55.5,280050
2016-11-15,56.05,56.1,55.35,55.8,515070
2016-11-14,56.1,56.25,56.0,56.0,264480
2016-11-11,56.1,56.2,56.0,56.15,363800
2016-10-11,56.25,56.3,56.05,56.15,450920
2016-09-11,56.05,56.3,55.85,56.15,450210
2016-08-11,55.85,56.27,55.7,56.15,989570
2016-07-11,54.05,55.6,54.0,55.55,918390
2016-04-11,53.8,53.95,53.5,53.6,291870
2016-03-11,54.3,54.5,53.73,53.85,216600
2016-02-11,54.4,54.6,53.9,54.1,394160
2016-01-11,54.3,54.6,54.0,54.4,298170
2016-10-31,54.5,54.6,54.3,54.35,384470
2016-10-28,54.5,54.8,54.2,54.5,302430
2016-10-27,54.8,55.11,54.1,54.45,779720
2016-10-26,54.8,55.35,54.6,54.65,385470
2016-10-25,54.95,55.5,54.75,55.45,263850
2016-10-24,55.1,55.3,54.45,55.15,322450
2016-10-21,54.4,56.2,54.25,55.05,1900000
2016-10-20,54.0,55.4,53.85,54.35,1080000
2016-10-19,54.0,54.75,53.95,54.15,804800
2016-10-18,54.1,54.75,51.55,54.1,2320000
2016-10-17,53.25,54.4,53.13,53.85,1570000
2016-10-14,53.33,53.55,51.95,52.08,2009999
2016-10-13,52.31,53.39,52.22,53.29,1190000
2016-12-10,52.16,52.61,52.01,52.39,448840
2016-11-10,52.53,53.07,51.74,52.05,1160000
2016-10-10,52.79,52.97,52.07,52.35,695160
2016-07-10,53.28,53.86,52.25,52.95,1720000
2016-06-10,53.06,53.2,52.8,53.08,656310
2016-05-10,52.95,53.5,52.91,53.17,357690
2016-04-10,53.44,53.52,52.9,53.0,873860
2016-03-10,53.66,53.74,53.4,53.57,562500
2016-09-30,53.62,53.71,53.2,53.51,688210
2016-09-29,53.53,53.72,52.58,53.44,2930000
2016-09-28,53.46,54.43,53.32,54.04,1590000
2016-09-27,53.3,53.84,53.09,53.54,867420
2016-09-26,53.97,54.0,53.13,53.3,1930000
2016-09-23,53.06,54.5,51.4,54.05,6460000
2016-09-22,55.72,55.72,50.66,53.2,6840000
2016-09-21,55.8,55.95,55.54,55.65,885120
2016-09-20,55.53,55.96,55.52,55.91,559580
2016-09-19,55.35,55.84,55.2,55.53,1060000
2016-09-16,55.9,55.91,54.91,55.14,2069999
2016-09-15,56.05,56.14,55.8,55.86,423090
2016-09-14,55.97,56.21,55.95,56.09,507160
2016-09-13,55.94,56.07,55.9,55.92,322880
2016-12-09,55.92,56.0,55.91,55.95,407330
2016-09-09,55.92,56.02,55.92,55.95,681980
2016-08-09,55.9,56.03,55.85,55.98,442780
2016-07-09,55.91,55.97,55.91,55.95,444440
2016-06-09,55.81,55.98,55.81,55.92,571330
2016-02-09,55.75,55.85,55.75,55.82,347960
2016-01-09,55.6,55.74,55.58,55.72,428520
2016-08-31,55.89,55.93,55.5,55.69,541860
2016-08-30,55.87,55.96,55.39,55.87,441120
2016-08-29,55.98,56.03,55.86,55.86,203600
2016-08-26,55.98,56.02,55.85,55.97,234960
2016-08-25,56.02,56.09,55.9,55.94,193760
2016-08-24,56.0,56.13,55.95,56.1,327210
2016-08-23,55.95,56.14,55.95,56.1,293340
2016-08-22,55.95,56.08,55.93,55.99,208150
2016-08-19,55.91,56.1,55.91,55.97,197570
2016-08-18,55.99,56.06,55.9,55.95,405200
2016-08-17,55.91,56.04,55.91,56.04,189720
2016-08-16,55.9,56.08,55.9,55.95,233860
2016-08-15,55.94,56.12,55.91,55.98,535780
2016-12-08,55.9,55.96,55.85,55.95,144600
2016-11-08,55.96,55.98,55.85,55.88,184610
2016-10-08,55.95,55.98,55.9,55.92,367820
2016-09-08,56.04,56.13,55.89,55.93,777200
2016-08-08,55.82,56.05,55.8,55.91,339730
2016-05-08,56.01,56.16,55.93,55.96,173170
2016-04-08,55.99,56.24,55.71,55.93,833990
2016-03-08,56.0,56.15,56.0,56.12,204600
2016-02-08,56.0,56.13,55.95,55.97,292200
2016-01-08,55.93,56.28,55.86,56.06,293940
2016-07-29,55.85,56.01,55.79,55.92,511540
2016-07-28,56.34,56.37,55.64,55.84,651870
2016-07-27,56.43,56.43,56.28,56.29,212970
2016-07-26,56.32,56.41,56.31,56.4,174320
2016-07-25,56.26,56.4,56.14,56.37,139780
2016-07-22,56.1,56.3,56.1,56.26,137030
2016-07-21,56.16,56.28,56.08,56.1,296040
2016-07-20,56.16,56.2,56.06,56.15,156480
2016-07-19,56.24,56.25,56.09,56.11,722230
2016-07-18,56.38,56.42,56.21,56.26,115160
2016-07-15,56.36,56.42,56.29,56.4,281360
2016-07-14,56.16,56.32,56.1,56.29,255490
2016-07-13,56.18,56.28,56.06,56.08,561300
2016-12-07,56.23,56.25,56.04,56.16,529170
2016-11-07,56.35,56.37,56.2,56.22,334150
2016-08-07,56.31,56.47,56.26,56.26,312250
2016-07-07,56.25,56.37,56.22,56.31,108460
2016-06-07,56.35,56.44,56.13,56.28,272940
2016-05-07,56.35,56.54,56.16,56.44,279320
2016-01-07,56.21,56.47,56.18,56.44,389860
2016-06-30,56.15,56.29,56.06,56.21,300060
2016-06-29,56.1,56.23,55.99,56.13,312640
2016-06-28,56.1,56.12,56.02,56.07,243850
2016-06-27,56.0,56.11,55.97,55.99,573560
2016-06-24,55.9,56.25,55.8,56.0,1060000
2016-06-23,56.23,56.27,56.13,56.26,253450
2016-06-22,56.15,56.21,56.11,56.13,202080
