Date,Open,High,Low,Close,Volume
2020-09-04,"0,082","0,087","0,082","0,086","4,58M"
2020-08-04,"0,083","0,084","0,081","0,081","2,46M"
2020-07-04,"0,083","0,085","0,081","0,081","2,21M"
2020-06-04,"0,084","0,084","0,080","0,080","4,28M"
2020-03-04,"0,083","0,086","0,083","0,084","3,44M"
2020-02-04,"0,088","0,089","0,081","0,086","5,15M"
2020-01-04,"0,099","0,099","0,089","0,090","6,89M"
2020-03-31,"0,086","0,105","0,086","0,095","12,53M"
2020-03-30,"0,076","0,083","0,076","0,080","3,68M"
2020-03-27,"0,086","0,095","0,070","0,072","11,43M"
2020-03-26,"0,075","0,086","0,072","0,083","9,87M"
2020-03-25,"0,070","0,076","0,066","0,071","8,96M"
2020-03-24,"0,059","0,064","0,051","0,062","14,77M"
2020-03-23,"0,064","0,064","0,051","0,055","5,90M"
2020-03-20,"0,063","0,065","0,055","0,055","10,76M"
2020-03-19,"0,068","0,073","0,058","0,058","7,56M"
2020-03-18,"0,071","0,072","0,064","0,067","5,76M"
2020-03-17,"0,070","0,072","0,059","0,063","7,20M"
2020-03-16,"0,075","0,076","0,065","0,069","4,55M"
2020-03-13,"0,056","0,090","0,050","0,079","6,68M"
2020-12-03,"0,069","0,069","0,050","0,060","12,70M"
2020-11-03,"0,080","0,081","0,072","0,072","4,37M"
2020-10-03,"0,078","0,079","0,070","0,075","6,47M"
2020-09-03,"0,085","0,088","0,075","0,080","6,19M"
2020-06-03,"0,105","0,107","0,087","0,087","8,75M"
2020-05-03,"0,110","0,115","0,105","0,105","626,92K"
2020-04-03,"0,110","0,110","0,105","0,110","846,00K"
2020-03-03,"0,100","0,110","0,100","0,105","1,42M"
2020-02-03,"0,105","0,115","0,097","0,097","3,82M"
2020-02-28,"0,115","0,120","0,105","0,105","1,70M"
2020-02-27,"0,130","0,130","0,115","0,115","998,15K"
2020-02-26,"0,125","0,130","0,115","0,125","1,42M"
2020-02-25,"0,120","0,125","0,120","0,120","616,25K"
2020-02-24,"0,130","0,130","0,125","0,130","274,83K"
2020-02-21,"0,130","0,130","0,125","0,130","230,38K"
2020-02-20,"0,130","0,130","0,125","0,130","1,33M"
2020-02-19,"0,130","0,130","0,125","0,125","337,98K"
2020-02-18,"0,130","0,130","0,125","0,130","596,96K"
2020-02-17,"0,130","0,130","0,125","0,125","1,24M"
2020-02-14,"0,130","0,135","0,130","0,135","356,41K"
2020-02-13,"0,135","0,135","0,130","0,135","302,50K"
2020-12-02,"0,130","0,135","0,125","0,135","378,40K"
2020-11-02,"0,140","0,140","0,130","0,130","1,09M"
2020-10-02,"0,140","0,145","0,140","0,145","178,14K"
2020-07-02,"0,145","0,145","0,140","0,140","550,05K"
2020-06-02,"0,145","0,145","0,140","0,140","42,69K"
2020-05-02,"0,145","0,145","0,140","0,140","176,42K"
2020-04-02,"0,145","0,145","0,140","0,145","58,38K"
2020-03-02,"0,145","0,145","0,140","0,140","268,18K"
2020-01-31,"0,145","0,150","0,145","0,145","275,02K"
2020-01-30,"0,145","0,150","0,145","0,145","404,32K"
2020-01-29,"0,150","0,150","0,145","0,145","82,93K"
2020-01-28,"0,145","0,150","0,145","0,145","324,12K"
2020-01-24,"0,150","0,150","0,145","0,145","251,65K"
2020-01-23,"0,145","0,150","0,145","0,145","365,10K"
2020-01-22,"0,150","0,150","0,145","0,150","77,56K"
2020-01-21,"0,145","0,150","0,145","0,150","129,62K"
2020-01-20,"0,145","0,150","0,145","0,145","248,27K"
2020-01-17,"0,145","0,150","0,145","0,145","120,47K"
2020-01-16,"0,150","0,150","0,145","0,145","151,19K"
2020-01-15,"0,150","0,150","0,145","0,145","469,80K"
2020-01-14,"0,150","0,150","0,150","0,150","81,35K"
2020-01-13,"0,150","0,150","0,150","0,150","43,37K"
2020-10-01,"0,145","0,150","0,145","0,150","138,67K"
2020-09-01,"0,150","0,150","0,145","0,145","196,82K"
2020-08-01,"0,150","0,150","0,145","0,145","200,79K"
2020-07-01,"0,150","0,155","0,150","0,150","181,82K"
2020-06-01,"0,150","0,150","0,145","0,145","61,68K"
2020-03-01,"0,155","0,155","0,145","0,155","431,30K"
2020-02-01,"0,155","0,155","0,155","0,155","62,69K"
2019-12-31,"0,155","0,155","0,150","0,150","319,53K"
2019-12-30,"0,150","0,155","0,150","0,155","220,19K"
2019-12-27,"0,150","0,150","0,145","0,150","43,08K"
2019-12-24,"0,150","0,150","0,145","0,150","347,84K"
2019-12-23,"0,145","0,147","0,145","0,147","3,11K"
2019-12-20,"0,150","0,150","0,140","0,140","466,31K"
2019-12-19,"0,150","0,150","0,150","0,150","56,73K"
2019-12-18,"0,150","0,150","0,150","0,150","741,02K"
2019-12-17,"0,150","0,152","0,150","0,150","298,36K"
2019-12-16,"0,150","0,152","0,150","0,150","478,31K"
2019-12-13,"0,150","0,152","0,150","0,150","220,93K"
2019-12-12,"0,155","0,155","0,150","0,150","174,91K"
2019-11-12,"0,155","0,155","0,150","0,150","205,42K"
2019-10-12,"0,150","0,152","0,150","0,150","315,15K"
2019-09-12,"0,150","0,152","0,150","0,150","1,38M"
2019-06-12,"0,150","0,155","0,150","0,155","94,14K"
2019-04-12,"0,155","0,155","0,152","0,155","72,50K"
2019-03-12,"0,155","0,155","0,150","0,155","167,92K"
2019-02-12,"0,155","0,155","0,150","0,150","244,55K"
2019-11-29,"0,155","0,155","0,150","0,155","130,16K"
2019-11-28,"0,150","0,155","0,150","0,152","144,18K"
2019-11-27,"0,155","0,155","0,150","0,152","360,15K"
2019-11-26,"0,155","0,155","0,150","0,150","56,42K"
2019-11-25,"0,155","0,155","0,150","0,155","317,72K"
2019-11-22,"0,155","0,155","0,152","0,155","539,87K"
2019-11-21,"0,155","0,155","0,150","0,155","35,66K"
2019-11-20,"0,150","0,155","0,150","0,152","158,14K"
2019-11-19,"0,155","0,155","0,150","0,155","1,37M"
2019-11-18,"0,155","0,155","0,150","0,150","1,49M"
2019-11-15,"0,155","0,155","0,150","0,150","200,68K"
2019-11-14,"0,150","0,155","0,150","0,150","324,88K"
2019-11-13,"0,155","0,155","0,152","0,152","134,16K"
2019-12-11,"0,150","0,155","0,150","0,155","234,72K"
2019-11-11,"0,155","0,155","0,150","0,152","332,13K"
2019-08-11,"0,155","0,155","0,150","0,155","199,83K"
2019-07-11,"0,155","0,155","0,150","0,155","311,77K"
2019-06-11,"0,155","0,155","0,150","0,152","468,78K"
2019-05-11,"0,155","0,155","0,152","0,155","260,62K"
2019-04-11,"0,150","0,155","0,150","0,155","202,06K"
2019-01-11,"0,155","0,155","0,150","0,150","1,42M"
2019-10-31,"0,155","0,155","0,150","0,150","449,73K"
2019-10-30,"0,155","0,155","0,150","0,150","867,75K"
