Date,Open_SPCE,High_SPCE,Low_SPCE,Close_SPCE,Volume_SPCE
2020-10-21,23.17,23.34,22.22,22.43,3310000
2020-10-20,22.9,24.36,22.67,23.03,25860000
2020-10-19,23.01,23.62,22.25,22.82,17280000
2020-10-16,22.0,23.4,21.87,22.44,23730000
2020-10-15,20.85,21.85,20.67,21.64,7760000
2020-10-14,21.94,21.94,21.02,21.33,8390000
2020-10-13,20.43,21.98,19.95,21.81,13080000
2020-12-10,21.44,21.49,20.56,20.57,8700000
2020-09-10,22.16,22.2,21.31,21.4,10080000
2020-08-10,22.42,22.54,21.56,22.09,10150000
2020-07-10,21.55,22.25,21.55,21.82,13070000
2020-06-10,21.27,22.53,20.8,21.03,23870000
2020-05-10,21.24,21.61,20.61,21.01,13250000
2020-02-10,19.07,20.91,18.82,20.77,19570000
2020-01-10,19.25,20.36,19.15,20.17,13910000
2020-09-30,20.06,20.85,18.96,19.23,19500000
2020-09-29,20.72,20.98,19.63,20.44,32270000
2020-09-28,18.26,20.77,18.1,20.51,54570000
2020-09-25,15.97,16.47,15.87,16.43,5430000
2020-09-24,15.52,16.34,14.93,15.92,11890000
2020-09-23,16.44,16.69,15.54,15.73,9900000
2020-09-22,16.44,16.6,16.13,16.47,6970000
2020-09-21,16.76,16.99,15.9,16.48,10690000
2020-09-18,17.22,17.38,16.82,17.21,8279999
2020-09-17,16.91,17.31,16.73,17.18,7320000
2020-09-16,17.51,17.75,17.28,17.41,6740000
2020-09-15,17.48,18.08,17.17,17.7,8850000
2020-09-14,16.75,17.46,16.63,17.39,7630000
2020-11-09,17.45,17.6,16.33,16.56,12760000
2020-10-09,17.85,18.45,17.29,17.45,12750000
2020-09-09,18.08,18.7,17.13,17.71,20200000
2020-08-09,16.41,18.25,16.01,17.4,20270000
2020-04-09,16.57,16.89,14.86,15.92,15030000
2020-03-09,16.55,17.19,16.22,16.53,12320000
2020-02-09,17.5,17.5,16.36,17.1,13410000
2020-01-09,17.89,17.92,17.33,17.41,9020000
2020-08-31,18.13,18.26,17.43,17.9,12670000
2020-08-28,17.35,17.56,17.11,17.46,5010000
2020-08-27,17.58,17.65,16.85,17.28,8870000
2020-08-26,17.48,18.5,17.23,17.34,13280000
2020-08-25,17.79,17.84,17.13,17.49,6520000
2020-08-24,17.02,17.69,16.74,17.63,9520000
2020-08-21,17.25,17.6,16.77,16.87,8950000
2020-08-20,17.49,17.61,16.88,17.31,11040000
2020-08-19,17.74,18.18,17.5,17.53,7400000
2020-08-18,18.06,18.37,17.49,17.73,9920000
2020-08-17,18.68,18.73,17.24,18.17,15440000
2020-08-14,18.87,19.09,18.28,18.55,7920000
2020-08-13,18.1,19.48,18.04,18.77,15600000
2020-12-08,18.34,18.44,17.81,18.16,8530000
2020-11-08,19.57,19.62,18.15,18.28,10640000
2020-10-08,18.45,19.51,18.44,19.23,12460000
2020-07-08,19.07,19.3,18.13,18.25,19630000
2020-06-08,19.77,19.98,19.06,19.34,22160000
2020-05-08,20.1,20.65,19.32,20.15,17070000
