Date,Name,Tweets,Open_SPCE,High_SPCE,Low_SPCE,Close_SPCE,Volume_SPCE,Open_VAH,High_VAH,Low_VAH,Close_VAH,Volume_VAH,Open_VA,High_VA,Low_VA,Close_VA,Volume_VA
2020-10-18,Richard Branson,My thoughts on modern slavery and what we’re doing to combat it at @Virgin: https://t.co/8v0pghZT9Q #AntiSlaveryDay https://t.co/7W55CmKWs3,,,,,,,,,,,,,,,
2020-10-16,Richard Branson,A very exciting step for @VirginHyperloop and the future of transport: https://t.co/bepJMcT83y,22.0,23.4,21.87,22.44,23730000.0,,,,,,,,,,
2020-10-15,,,20.85,21.85,20.67,21.64,7760000.0,,,,,,,,,,
2020-10-14,Richard Branson,I’m delighted that @virgingalactic is working with @NASA and the @SwRI on such an exciting initiative to expand sci… https://t.co/65ImNz2hXb,21.94,21.94,21.02,21.33,8390000.0,,,,,,,,,,
2020-10-13,,,20.43,21.98,19.95,21.81,13080000.0,,,,,,,,,,
2020-10-12,,,21.44,21.49,20.56,20.57,8700000.0,,,,,,,,,,
2020-10-09,Richard Branson,.@VirginHyperloop unveils West Virginia as location for Hyperloop Certification Center https://t.co/DeT8YjXY0c https://t.co/oPeH3b1kbG,22.16,22.2,21.31,21.4,10080000.0,,,,,,,,,,
2020-10-08,Richard Branson,Today is one of the most exciting days in @VirginHyperloop’s history. The Hyperloop Certification Center is the sta… https://t.co/4nqRGaGkCk,22.42,22.54,21.56,22.09,10150000.0,,,,,,,,,,
2020-10-08,Richard Branson,"RT @virginhyperloop: Tune in live to witness history, as we announce the location for the global Hyperloop Certification Center https://t.c…",22.42,22.54,21.56,22.09,10150000.0,,,,,,,,,,
2020-10-08,Richard Branson,We’re one step closer to making hyperloop travel a reality for people everywhere. https://t.co/DeT8YjGmBC… https://t.co/UIvfb2Ctg8,22.42,22.54,21.56,22.09,10150000.0,,,,,,,,,,
2020-10-07,,,21.55,22.25,21.55,21.82,13070000.0,,,,,,,,,,
2020-10-06,Richard Branson,28 companies from around the world have stepped up in support of #refugees. Delighted to share @Virgin Managmeent h… https://t.co/JyMqvAGHNU,21.27,22.53,20.8,21.03,23870000.0,,,,,,,,,,
2020-10-05,,,21.24,21.61,20.61,21.01,13250000.0,,,,,,,,,,
2020-10-02,,,19.07,20.91,18.82,20.77,19570000.0,,,,,,,,,,
2020-10-01,Richard Branson,"RT @VirginStartUp: Huge thank you to all the nearly 900 people who joined our digital MeetUp last night, with a special thanks to our host…",19.25,20.36,19.15,20.17,13910000.0,,,,,,,,,,
2020-10-01,Richard Branson,"RT @VirginStartUp: These 3 problems @richardbranson thinks businesses should be working on:

1. Ideas that bring customers something that i…",19.25,20.36,19.15,20.17,13910000.0,,,,,,,,,,
2020-10-01,Richard Branson,"RT @VirginStartUp: A surprise guest to our MeetUp, @richardbranson joins @simonsinek!

#VSUMeetUp https://t.co/ELAJwWDCqz",19.25,20.36,19.15,20.17,13910000.0,,,,,,,,,,
2020-10-01,Richard Branson,"RT @VirginStartUp: We're joined by @HollyBranson. 

""It's been amazing to see how adaptable small business founders have been. Acting in a…",19.25,20.36,19.15,20.17,13910000.0,,,,,,,,,,
2020-09-30,Richard Branson,I’m delighted to support a company working hard on developing solutions to the world’s plastic problem. @Agilyx has… https://t.co/jVE08piM90,20.06,20.85,18.96,19.23,19500000.0,,,,,,,,,,
2020-09-29,,,20.72,20.98,19.63,20.44,32270000.0,,,,,,,,,,
2020-09-28,,,18.26,20.77,18.1,20.51,54570000.0,,,,,,,,,,
