Date,Name,Tweets,USD_EUR
2020-10-20,Emmanuel Macron,"Dès demain en Conseil des ministres, nous aurons à dissoudre le groupement de fait Cheikh Yassine. D'autres actes s… https://t.co/84biXktcPA",1.181
2020-10-20,Emmanuel Macron,"Depuis 3 ans, des centaines de lieux, établissements, salles de prières, écoles clandestines, foyers d’endoctrinement, ont été fermés.",1.181
2020-10-20,Emmanuel Macron,Les mots nous les avons eus. Le mal nous l'avons nommé. Nous savons ce qui est à faire. Nos concitoyens attendent d… https://t.co/Gb8Yh1SO68,1.181
2020-10-20,Emmanuel Macron,"Ces derniers jours, plusieurs dizaines d'actions concrètes ont été lancées contre des associations qui portent une… https://t.co/9XcZ1vGh00",1.181
2020-10-20,Emmanuel Macron,Notre stratégie de lutte contre la radicalisation et l’islamisme s'est intensifiée depuis un an avec une déclinaiso… https://t.co/UpVYFsKo0a,1.181
2020-10-19,Emmanuel Macron,"Lutter contre le terrorisme islamiste, c'est combattre l'ennemi à la racine, sur les théâtres d'opérations. C'est a… https://t.co/8uAopdUiWm",1.1785
2020-10-19,Emmanuel Macron,تستمر فرنسا في التزامها بالوقوف إلى جانب العراق في محاربة الإرهاب، وفي دعم احترام سيادته. وسنهزم الشّر من جذوره. وأ… https://t.co/AjYSm2Ql8G,1.1785
2020-10-16,Emmanuel Macron,À tous les enseignants de France. https://t.co/YLlIVILTaN,1.1741
2020-10-16,Emmanuel Macron,Ils ne passeront pas.,1.1741
2020-10-16,Emmanuel Macron,Déclaration après l’attaque terroriste de Conflans-Sainte-Honorine. https://t.co/kRtDv7Y8pv,1.1741
2020-10-16,Emmanuel Macron,Nous avons le devoir de soutenir l’Afrique face à la pandémie. Notre initiative pour soutenir la recherche et rendr… https://t.co/K2Xowauw4R,1.1741
2020-10-16,Emmanuel Macron,"En vue du Brexit, les Britanniques ont davantage besoin d’un accord que l’Union européenne. Les Européens sont prêt… https://t.co/0tx6aCG8Mm",1.1741
2020-10-16,Emmanuel Macron,Nous sommes désormais douze ! Douze membres de l’Union européenne à porter une ambition climatique nouvelle. On con… https://t.co/k81pwkmIL0,1.1741
2020-10-16,François Hollande,"Avec l’assassinat effroyable d’un professeur, la République et son école sont à nouveau la cible du terrorisme isla… https://t.co/hsoQVuWXKI",1.1741
2020-10-15,Emmanuel Macron,"Face à l’urgence climatique, nous devons poursuivre nos efforts et accélérer tous ensemble. Avec nos partenaires du… https://t.co/KqYiNW67Kw",1.1698
2020-10-15,Emmanuel Macron,"Ils font de la protection des autres le choix d’une vie, jamais nous n’accepterons la violence et l’irrespect enver… https://t.co/Gchqtp2Ahb",1.1698
2020-10-14,Emmanuel Macron,"L'hôtellerie, les cafés, les restaurants, le tourisme, l'événementiel, la culture et le sport : à tous les secteurs… https://t.co/GYZuFVM3AK",1.175
2020-10-14,Emmanuel Macron,COVID-19 : suivez mon interview. https://t.co/RPCt4WgBPL,1.175
2020-10-14,Emmanuel Macron,Un couvre-feu sera instauré de 21h à 6h dans les zones d’état d’urgence sanitaire. https://t.co/hDrckFCt3B,1.175
2020-10-14,Emmanuel Macron,Six maximum. https://t.co/G9hs0K8HF0,1.175
2020-10-14,Emmanuel Macron,Nous sommes une nation de citoyens solidaires. Nous avons besoin les uns des autres. On s'en sortira ensemble.,1.175
2020-10-14,Emmanuel Macron,"La deuxième vague est là. Nos services de réanimation sont sous pression. Sans mobilisation collective, ils seront… https://t.co/0XgHjc0Z4C",1.175
2020-10-14,Emmanuel Macron,Cette crise touche d'abord les plus précaires. Une aide financière sera apportée aux bénéficiaires du RSA et des AP… https://t.co/9FQVHydeFw,1.175
2020-10-14,Emmanuel Macron,https://t.co/FO1GGwNWkY,1.175
2020-10-14,Emmanuel Macron,"C'est dur d'avoir 20 ans en 2020.
Je sais les efforts que nous demandons aux jeunes. https://t.co/S3HFcJ0N3n",1.175
2020-10-13,Emmanuel Macron,Heureux de l’élection de la France au Conseil des droits de l’Homme. Alors que les droits de l’Homme et le multilat… https://t.co/bruSEovPOR,1.1787
2020-10-12,,,1.1799
2020-10-09,François Hollande,Le fait que plus aucun français ne soit retenu en otage dans le monde ne doit pas réduire la vigilance dans les dép… https://t.co/2qIx1mOcuw,1.1795
2020-10-09,François Hollande,La libération de Sophie Pétronin après 4 ans de détention vient mettre un terme à épreuve douloureuse pour une huma… https://t.co/m46qgAxhEO,1.1795
2020-10-09,Emmanuel Macron,Merci aux autorités maliennes d’avoir rendu possible la libération de Sophie Pétronin. Ma reconnaissance à l’ensemb… https://t.co/ECETQWTURV,1.1795
