Date,Name,Tweets,EUR_GBP,USD_GBP,RUB_GBP
2020-10-22,Boris Johnson,"We are wrapping our arms around the country to give people the support they need to get through this.

That's why… https://t.co/maECaOIe1I",1.1072,1.3095,100.2095
2020-10-22,Boris Johnson,"RT @10DowningStreet: Prime Minister @BorisJohnson welcomed Iraqi Prime Minister, Mustafa al-Kadhimi @MAKadhimi @IraqiPMO to Downing Street…",1.1072,1.3095,100.2095
2020-10-22,Boris Johnson,"Keeping active this year has been challenging for all of us.

Thanks to everyone who is working tirelessly to help… https://t.co/dGCdcnIkml",1.1072,1.3095,100.2095
2020-10-21,Boris Johnson,Great to meet some of our Black service personnel yesterday. A reminder during #BlackHistoryMonth that many Black B… https://t.co/VmW1SQ9PwP,1.1085,1.3163,101.0392
2020-10-20,Boris Johnson,WATCH LIVE: An update on coronavirus. (20 October 2020) https://t.co/ZgJZoPBM2C,1.0955,1.2962,100.5229
2020-10-19,,,1.1031,1.2997,100.6959
2020-10-16,Boris Johnson,"Over the next few weeks, new rapid COVID-19 tests will be trialled across the country. This will enable us to test… https://t.co/GN2n9rKQKP",1.1033,1.293,100.7508
2020-10-16,Boris Johnson,"RT @10DowningStreet: The UK will be trialling and distributing new rapid COVID-19 tests, with regular testing for priority groups such as N…",1.1033,1.293,100.7508
2020-10-16,Boris Johnson,WATCH LIVE: An update on coronavirus. (16 October 2020) https://t.co/TrPvFPQDnf,1.1033,1.293,100.7508
2020-10-16,Boris Johnson,"My update on our negotiations with the EU.

https://t.co/1yPBFWgxcn",1.1033,1.293,100.7508
2020-10-15,Boris Johnson,RT @RishiSunak: 1/ I wanted to take a moment to explain how the Job Support Scheme compares to other countries and how it interacts with UC…,1.1031,1.2906,101.0527
2020-10-15,Boris Johnson,"RT @10DowningStreet: Today is #GlobalHandwashingDay.

Washing your hands with soap and water for 20 seconds regularly helps stop the spread…",1.1031,1.2906,101.0527
2020-10-14,Boris Johnson,"Good to meet with @Minette_Batters today. I will always support our fantastic farmers, who have worked tirelessly d… https://t.co/JFHtRRCKvc",1.1091,1.3041,101.0058
2020-10-14,Boris Johnson,RT @10DowningStreet: Today the Local COVID Alert Levels come into force. Use the postcode checker to find out what this means in your area:…,1.1091,1.3041,101.0058
2020-10-13,Boris Johnson,"We’re simplifying and standardising local rules in England by introducing three Local COVID Alert levels, with each… https://t.co/ahtRzdBzNT",1.1057,1.2987,100.1947
2020-10-12,Boris Johnson,"RT @10DowningStreet: We are introducing a three tiered system of local COVID Alert Levels in England. 
 
[Tap to expand the graphics]
 
For…",1.1064,1.307,100.7599
2020-10-12,Boris Johnson,WATCH LIVE: An update on coronavirus (12 October 2020) https://t.co/hyzM4BhQNT,1.1064,1.307,100.7599
2020-10-12,Boris Johnson,RT @10DowningStreet: WATCH LIVE: Prime Minister @BorisJohnson makes a statement on coronavirus in the @HouseOfCommons (12 October 2020) htt…,1.1064,1.307,100.7599
2020-10-12,Boris Johnson,"RT @10DowningStreet: WATCH LIVE: #Coronavirus data briefing (12 October 2020)
 
Speakers: 

🔵 Prof Jonathan Van-Tam, Deputy Chief Medical O…",1.1064,1.307,100.7599
2020-10-09,Boris Johnson,"RT @RishiSunak: 1/ I’m announcing today that I’m expanding the Jobs Support Scheme. 

Where the coronavirus restrictions legally require bu…",1.0999,1.2994,99.6727
