Date,Name,Tweets,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL
2020-10-13,Tim Cook,"Hey Siri, play my event day playlist! See you all soon! #AppleEvent https://t.co/CDTYPczjCz",125.2699966430664,125.38999938964844,119.6500015258789,121.0999984741211,262330500
2020-10-12,Tim Cook,The fires across the West Coast and storms hitting the South are a tragic reminder of what’s at stake if we fail to… https://t.co/KOCsn741Sc,120.05999755859376,125.18000030517578,119.27999877929688,124.4000015258789,240226800
2020-10-09,Tim Cook,"We’re proud to celebrate the power of unity and storytelling with @GirlsWhoCode, one of our Community Education Ini… https://t.co/aBpkw6GtFP",115.27999877929688,117.0,114.91999816894531,116.97000122070312,100506900
2020-10-08,Tim Cook,"Thank you @StevieWonder and @ACBnational! On the 10th anniversary of the passage of the #CVAA10, we celebrate the b… https://t.co/kf5gUF4DBC",116.25,116.4000015258789,114.58999633789062,114.97000122070312,83477200
2020-10-07,Tim Cook,We created the Health app because we believe everyone should be able to easily and securely view their health infor… https://t.co/7L0R0a9N5b,114.62000274658205,115.5500030517578,114.12999725341795,115.08000183105469,96849000
2020-10-05,Tim Cook,"“A great soul never dies. It brings us together again and again.” — Maya Angelou. You’re always with us Steve, your… https://t.co/NmM3FFosBS",113.91000366210938,116.6500015258789,113.5500030517578,116.5,106243800
2020-10-01,Tim Cook,"As Grace Hopper said, “The most dangerous phrase in the language is, ‘We've always done it this way.’” To all the t… https://t.co/K8enrk3Pkn",117.63999938964844,117.72000122070312,115.83000183105469,116.79000091552734,116120400
2020-09-24,Tim Cook,The time for #ClimateAction is now. Apple is proud of our commitment to be carbon neutral across our entire supply… https://t.co/8NvNHsv4cT,105.16999816894531,110.25,105.0,108.22000122070312,167743300
2020-09-22,Tim Cook,"It’s National Voter Registration Day and @AppleNews has a state-by-state guide with registration information, polli… https://t.co/qks2XdXqcO",112.68000030517578,112.86000061035156,109.16000366210938,111.80999755859376,183055400
2020-09-18,Tim Cook,Taking a break so you can catch up. 👊 @Money23Green https://t.co/D7hKNJXo3a,110.4000015258789,110.87999725341795,106.08999633789062,106.83999633789062,287104900
2020-09-18,Tim Cook,Just wrapped my morning workout! You up yet @Money23Green? 🏋️‍♂️ https://t.co/KTg7KrVbcb,110.4000015258789,110.87999725341795,106.08999633789062,106.83999633789062,287104900
2020-09-18,Tim Cook,We know how important it is for our customers to stay in touch with those they love and the world around them. We c… https://t.co/cQCAyKAfm3,110.4000015258789,110.87999725341795,106.08999633789062,106.83999633789062,287104900
2020-09-17,Tim Cook,Game on! 💪💪 https://t.co/za755x80jC,109.72000122070312,112.1999969482422,108.70999908447266,110.33999633789062,178011000
2020-09-17,Tim Cook,"We’re thrilled that the whole family can enjoy the benefits of Apple Watch with Family Setup! As always, privacy an… https://t.co/5AHMVhzo8A",109.72000122070312,112.1999969482422,108.70999908447266,110.33999633789062,178011000
2020-09-16,Tim Cook,Apple is proud to work with researchers like Dr. Heather Ross. Yesterday we announced our partnership in three heal… https://t.co/Z7LyvWGWdM,115.2300033569336,116.0,112.04000091552734,112.12999725341795,154679000
2020-09-15,Tim Cook,It’s time to get started! 👀 https://t.co/OUTqAbnFDd,118.33000183105469,118.83000183105469,113.61000061035156,115.54000091552734,184642000
2020-09-15,Tim Cook,Good morning! T-minus 6 hours! #AppleEvent,118.33000183105469,118.83000183105469,113.61000061035156,115.54000091552734,184642000
2020-09-11,Tim Cook,Apple is making additional donations to firefighting and recovery across the West Coast. Our hearts are with those… https://t.co/6YwYwx1hP1,114.56999969482422,115.2300033569336,110.0,112.0,180860300
2020-09-10,Tim Cook,Proud to join @CoachGusMalzahn @coachbrucepearl  and the Auburn family in speaking up for racial justice. Unity mea… https://t.co/GflfkxQbXR,120.36000061035156,120.5,112.5,113.48999786376952,182274400
2020-09-10,Tim Cook,Our retail stores bring the best of Apple together and we’re so proud to welcome you to our newest home in Singapor… https://t.co/ba0eYTpwHQ,120.36000061035156,120.5,112.5,113.48999786376952,182274400
2020-09-02,Tim Cook,"We’re proud that developers like @Caribu, @HEB &amp; @ShineText are growing their businesses on the App Store. Our iOS… https://t.co/C9gTY5Rn6x",137.58999633789062,137.97999572753906,127.0,131.39999389648438,200119000
2020-08-31,Tim Cook,Coach Thompson was a legend not just because of who he was but because of what he gave. He knew that great play beg… https://t.co/ujR9JnZZKJ,127.58000183105469,131.0,126.0,129.03999328613278,225702700
2020-08-28,Tim Cook,"On this day in 1963, thousands joined Dr. King to remind America of the fierce urgency of now. All these years late… https://t.co/R25e80RC9k",126.0124969482422,126.44249725341795,124.57749938964844,124.80750274658205,187630000
2020-08-28,Tim Cook,"We stand with those who refuse to accept the status quo. The WNBA, NBA, and all of those who will not tolerate anot… https://t.co/uftKaQLDPR",126.0124969482422,126.44249725341795,124.57749938964844,124.80750274658205,187630000
2020-08-27,Tim Cook,I want to thank Portrice Warren and the thousands of other dedicated educators like her for embracing this unpreced… https://t.co/OzcrHkhEwW,127.14250183105469,127.48500061035156,123.8324966430664,125.01000213623048,155552400
2020-08-27,Tim Cook,Great to work alongside @GallaudetU in making learning more accessible and creating greater opportunity for their s… https://t.co/4U9ZV3626i,127.14250183105469,127.48500061035156,123.8324966430664,125.01000213623048,155552400
2020-08-26,Tim Cook,"100 years ago, the 19th Amendment brought America another step closer toward equality. Today and always, we must ma… https://t.co/As0WmjR1w7",126.18000030517578,126.99250030517578,125.0824966430664,126.52249908447266,163022400
2020-08-25,Tim Cook,"“Knowing who we are, and where we have come from, is the simplest and most effective way to unite us as Americans.… https://t.co/b4EzYrXjsR",124.69750213623048,125.18000030517578,123.05249786376952,124.8249969482422,211495600
2020-08-25,Tim Cook,Our thoughts are with everyone on the Gulf Coast preparing for Tropical Storms Marco &amp; Laura—please listen to local… https://t.co/4B1kPcp92z,124.69750213623048,125.18000030517578,123.05249786376952,124.8249969482422,211495600
2020-08-25,Tim Cook,Wishing a full recovery to Jacob Blake and justice for him and our communities. https://t.co/yXgEjzrTbK,124.69750213623048,125.18000030517578,123.05249786376952,124.8249969482422,211495600
2020-08-24,Tim Cook,"Our National Parks strengthen our connection to nature, to one another, and to the soul of our nation. Apple is exc… https://t.co/ar2hr5oIDH",128.69749450683594,128.78500366210938,123.9375,125.85749816894531,345937600
2020-08-19,Tim Cook,"To our employees, friends and neighbors affected by the heatwave and expanding fires across CA, please stay safe an… https://t.co/aJ74LNLRHn",115.98249816894531,117.1624984741211,115.61000061035156,115.7074966430664,145538000
2020-08-19,Tim Cook,The most beautiful moments of life are often unexpected. Today we celebrate photographers around the world who capt… https://t.co/SVlGskBagA,115.98249816894531,117.1624984741211,115.61000061035156,115.7074966430664,145538000
2020-08-19,Tim Cook,Music has the power to heal and to bring us together. We’re so excited for listeners around the world to connect wi… https://t.co/WRhM0kMQba,115.98249816894531,117.1624984741211,115.61000061035156,115.7074966430664,145538000
2020-08-07,Tim Cook,Apple is donating to relief organizations that are helping with immediate needs and long-term support in Beirut. We… https://t.co/d1nijhbFsa,113.20500183105469,113.6750030517578,110.2925033569336,111.1125030517578,198045600
2020-07-31,Tim Cook,"It’s our pleasure to introduce Apple Central World. In December, I visited the team in Bangkok as construction was… https://t.co/1iCUps13QK",102.69983040567485,106.22347591705852,100.64353280108251,106.06875610351562,374336800
2020-07-30,Tim Cook,"""Though I may not be here with you, I urge you to answer the highest calling of your heart and stand up for what yo… https://t.co/Ml2hNIF9u8",94.0179854256677,96.1241885485044,93.598743151197,96.01688385009766,158130000
2020-07-28,Tim Cook,Change starts with honest conversation. We have created a helpful discussion guide to support teachers and parents… https://t.co/yb39LjmCoO,94.19766216412641,94.37983645094087,93.07967514524547,93.0846710205078,103625600
2020-07-24,Tim Cook,"In tribute to his life and mission, Apple will be donating its proceeds from the film ‘John Lewis: Good Trouble’ to… https://t.co/3RIPVs0VQ3",90.82374517952034,92.80267527954443,88.98455488478909,92.44831085205078,185438800
2020-07-23,Tim Cook,"Proud to celebrate 25 years of the Apple Distinguished Educator program and honor the more than 3,000 educators fro… https://t.co/PXHa6Yjd36",96.82292505025492,96.9027828969732,91.84440593767413,92.67790222167969,197004400
2020-07-23,Tim Cook,Our world is more vibrant when everyone has access to the tools they need to realize their dreams. The work these t… https://t.co/AiGFK0aCZI,96.82292505025492,96.9027828969732,91.84440593767413,92.67790222167969,197004400
2020-07-22,Tim Cook,Congratulations to this year’s @ippawards winners from all around the world! Your extraordinary photos beautifully… https://t.co/axE2gi9ROQ,96.51847701231766,97.79867007904836,96.42864264339941,97.0974349975586,89001600
2020-07-21,Tim Cook,RT @voguemagazine: .@Apple just released an ambitious 10-year roadmap to reduce its carbon emissions by 75% and meaningfully offset the rem…,98.99401484546732,99.07137475554475,96.56838793473526,96.82542419433594,103646000
2020-07-21,Tim Cook,We’re making a big promise to future generations to do everything we can to protect the planet we all share. It’s a… https://t.co/ndtUTxEOlk,98.99401484546732,99.07137475554475,96.56838793473526,96.82542419433594,103646000
2020-07-21,Tim Cook,"By 2030, Apple’s entire business will be carbon neutral — from supply chain to the power you use in every device we… https://t.co/tjVhPiPFiK",98.99401484546732,99.07137475554475,96.56838793473526,96.82542419433594,103646000
2020-07-17,Tim Cook,With new headwear options and masks in iOS 14 — we’ve got you covered! Happy #WorldEmojiDay! https://t.co/AqQp0QVefV,96.81294481496212,96.9726528866048,95.66750338520248,96.15412902832031,92186800
2020-07-16,Tim Cook,"At Apple, we believe in the power of education to transform lives and we're committed to partnering with communitie… https://t.co/xrZoEyPGte",96.38870669282608,97.22968914177584,95.73238884363484,96.3487777709961,110577600
2020-07-13,Tim Cook,"At a time when many are facing unprecedented challenges, we’re proud to announce $400M in affordable housing projec… https://t.co/ZDpDxnLAug",97.08994546338772,99.77510653850626,95.08605879180672,95.3056640625,191649200
2020-07-09,Tim Cook,"A great education makes anything possible. We are proud to support the next generation of developers, dreamers and… https://t.co/u7XqaPpQqY",96.08924631025288,96.14414762736723,94.50211160475985,95.58016967773438,125642800
2020-06-23,Tim Cook,"Like Apple, this nation of immigrants has always found strength in our diversity, and hope in the enduring promise… https://t.co/3hYcZ0aIMj",90.83622135880779,92.92745206903595,90.40449701565596,91.46758270263672,212155600
2020-06-23,Tim Cook,"This year’s #WWDC20 student developers are creating apps that do incredible things like help prepare for pandemics,… https://t.co/eEXTIkOZEK",90.83622135880779,92.92745206903595,90.40449701565596,91.46758270263672,212155600
2020-06-22,Tim Cook,Good morning developers! See you soon! #WWDC20 https://t.co/7HgxrXucwM,87.67691859563493,89.70326389735777,87.629503474209,89.5560302734375,135445200
2020-06-19,Tim Cook,It took more than two years for those enslaved in Texas to learn they were free in 1865. The story of America is th… https://t.co/yUuKqs2iw5,88.50043364341059,88.97956547602463,86.1321984834121,87.27264404296875,264476000
2020-06-18,Tim Cook,"The 478 Dreamers at Apple are members of our collective family. With creativity and passion, they’ve made us a stro… https://t.co/zZs0XAXyfP",87.69438836806921,88.20347262790312,87.14787312199681,87.77424621582031,96820400
2020-06-16,Tim Cook,"Congratulations to Sofia, Palash and Devin — three of our amazing #WWDC20 Swift Student Challenge winners who view… https://t.co/kvjNj2qMuZ",87.70686007963431,88.14108235339977,86.02489514821484,87.86157989501953,165428800
2020-06-15,Tim Cook,Grateful for today’s decision by the Supreme Court. LGBTQ people deserve equal treatment in the workplace and throu… https://t.co/xsdjphGIu1,83.1625550889502,86.26446041724701,82.99535320269577,85.59317016601562,138808800
2020-06-11,Tim Cook,"The unfinished work of racial justice and equality call us all to account. Things must change, and Apple's committe… https://t.co/dk1EoMzfhu",87.17032724870819,87.60703983566944,83.71905341235768,83.82386016845703,201662400
2020-06-04,Tim Cook,"Today, as Minneapolis gathers and the nation memorializes George Floyd, we mourn a life ended in its prime and ever… https://t.co/MaV3incHQ7",80.95154510633601,81.25848679658452,80.05066545755263,80.43497467041016,87560400
2020-05-29,Tim Cook,"Minneapolis is grieving for a reason. To paraphrase Dr. King, the negative peace which is the absence of tension is… https://t.co/nFbwWyAx1g",79.6688594436805,80.14300305114446,78.97511055722347,79.34194946289062,153598000
2020-05-27,Tim Cook,"Larry Kramer was an American original who got loud, acted up, and saved many LGBTQ lives. His unrelenting efforts w… https://t.co/PT0AppWV7R",78.89276257095733,79.5341004612103,78.13163029012715,79.38436889648438,112945200
2020-05-21,Tim Cook,Our thanks to these developers and creators who are building the life-changing apps that make the App Store such an… https://t.co/we97GsGB6q,79.52162366258825,80.07812304242965,78.82537685729436,79.06993865966797,102688800
2020-05-21,Tim Cook,This year’s #GAAD comes at a time when ensuring everyone has the tools they need to stay connected has never been m… https://t.co/1QJJPvXd0Z,79.52162366258825,80.07812304242965,78.82537685729436,79.06993865966797,102688800
2020-05-20,Tim Cook,Technology can help health officials rapidly tell someone they may have been exposed to COVID-19. Today the Exposur… https://t.co/tHcpLrxDYA,79.02751451582141,79.73623580231995,78.98758559065283,79.66387176513672,111504800
2020-05-18,Tim Cook,One of my favorite parts of WWDC is seeing the big ideas and creative approaches student developers take to solve p… https://t.co/5u8GSpTFDZ,78.15159275273814,78.9825910709339,77.44037358489093,78.59828186035156,135372400
2020-05-12,Tim Cook,"To the nurses who work every day to save the lives of others—administering care, easing anxieties, comforting famil… https://t.co/YnTNRzUUNE",79.3144942463424,79.77866132995244,77.58761205177144,77.71238708496094,162301200
2020-05-07,Tim Cook,"We’re proud to partner with COPAN Diagnostics to rapidly expand America’s COVID-19 testing capacity. By early July,… https://t.co/fqb6T6lGAf",75.46428363250901,75.94959553042419,75.1531882095129,75.59369659423828,115215200
2020-05-05,Tim Cook,Every year I am blown away by the talent of our student developers and I can’t wait to see what you dream up for th… https://t.co/vYA7xKwuxv,73.43345790598175,74.91178408659461,73.284130571506,74.05564880371094,147751200
2020-05-05,Tim Cook,"Today we celebrate teachers everywhere, like Jodie from Coppell Middle School East in Texas, who are imagining new… https://t.co/XRlkjcpLAU",73.43345790598175,74.91178408659461,73.284130571506,74.05564880371094,147751200
2020-04-23,Tim Cook,"As this holy month of Ramadan begins, sending wishes of health, safety and wellbeing to all those observing around… https://t.co/n1BLFpZEti",68.65751866620394,70.12091284514528,68.40864231182897,68.44846343994139,124814400
2020-04-22,Tim Cook,"More than ever before, we can see the crucial role each of us plays in our collective wellbeing—for humanity and fo… https://t.co/cs5Osvba1p",68.09505256787179,69.16273420605366,67.74414360790537,68.71475982666016,29215600
2020-04-17,Tim Cook,Students and teachers everywhere are doing incredible things. We are glad to work alongside Ontario’s Ministry of E… https://t.co/hG638i8fTZ,70.85261263939063,71.41507565218302,68.90390645698547,70.38223266601562,53812500
2020-04-15,Tim Cook,"Today we introduced iPhone SE, our most affordable iPhone. Its compact design and powerful performance feature the… https://t.co/jZcwtiWlHn",70.28268411375842,71.26076640756528,69.84217568096321,70.78790283203125,32788600
